QUD-prejacent,QUD-competence,Check,Gender,Age,English
,"(b) ""Yes, it is""",Yes,Female,61,Yes
"(a) ""No, it's not""",,Yes,Female,27,Yes
"(a) ""No, it's not""",,No,Male,59,Yes
,"(b) ""Yes, it is""",Yes,Male,33,Yes
,"(a) ""No, it's not""",Yes,Male,38,Yes
"(b) ""Yes, it is""",,No,Female,27,Yes
"(a) ""No, it's not""",,Yes,Male,29,Yes
"(b) ""Yes, it is""",,Yes,Female,32,Yes
,"(a) ""No, it's not""",Yes,Female,29,Yes
,"(b) ""Yes, it is""",Yes,Male,33,No
"(b) ""Yes, it is""",,No,Male,30,Yes
"(a) ""No, it's not""",,Yes,Female,27,Yes
"(a) ""No, it's not""",,Yes,Female,37,Yes
"(a) ""No, it's not""",,Yes,Female,61,Yes
,"(a) ""No, it's not""",Yes,Male,34,Yes
"(a) ""No, it's not""",,Yes,Female,23,Yes
,"(a) ""No, it's not""",Yes,Female,57,Yes
,"(a) ""No, it's not""",Yes,Female,27,Yes
"(b) ""Yes, it is""",,Yes,Female,41,Yes
"(a) ""No, it's not""",,Yes,Female,20,Yes
,"(a) ""No, it's not""",Yes,Male,58,Yes
"(a) ""No, it's not""",,Yes,Male,44,Yes
"(a) ""No, it's not""",,Yes,Female,34,Yes
"(a) ""No, it's not""",,Yes,Female,62,Yes
,"(b) ""Yes, it is""",Yes,Female,66,Yes
,"(a) ""No, it's not""",Yes,Male,25,Yes
,"(a) ""No, it's not""",Yes,Female,50,Yes
"(b) ""Yes, it is""",,,Male,60,Yes
,"(b) ""Yes, it is""",Yes,Female,33,No
,"(a) ""No, it's not""",Yes,Female,34,Yes
,"(a) ""No, it's not""",Yes,Male,31,No
,"(a) ""No, it's not""",Yes,Male,55,Yes
,"(a) ""No, it's not""",Yes,Male,29,No
,"(b) ""Yes, it is""",Yes,Male,40,Yes
,"(a) ""No, it's not""",Yes,Male,38,Yes
"(a) ""No, it's not""",,Yes,Female,37,Yes
"(b) ""Yes, it is""",,Yes,Female,51,Yes
,"(a) ""No, it's not""",Yes,Female,42,Yes
"(a) ""No, it's not""",,Yes,Male,26,Yes
,"(a) ""No, it's not""",Yes,Male,35,Yes
"(a) ""No, it's not""",,Yes,Male,70,Yes
,"(b) ""Yes, it is""",Yes,Male,64,Yes
"(a) ""No, it's not""",,Yes,Female,35,Yes
"(b) ""Yes, it is""",,No,Male,25,Yes
"(b) ""Yes, it is""",,Yes,Male,52,Yes
"(a) ""No, it's not""",,Yes,Male,26,No
"(a) ""No, it's not""",,Yes,Male,30,Yes
,"(a) ""No, it's not""",Yes,Male,42,Yes
"(a) ""No, it's not""",,Yes,Male,42,No
"(a) ""No, it's not""",,Yes,Male,33,No
,"(b) ""Yes, it is""",Yes,Male,41,Yes
"(b) ""Yes, it is""",,No,Male,21,Yes
"(b) ""Yes, it is""",,Yes,Male,41,No
,"(a) ""No, it's not""",Yes,Male,30,Yes
,"(a) ""No, it's not""",Yes,Male,23,
,"(a) ""No, it's not""",Yes,Female,55,Yes
"(a) ""No, it's not""",,Yes,Male,28,Yes
,"(a) ""No, it's not""",Yes,Female,26,No
"(a) ""No, it's not""",,Yes,Male,46,Yes
,"(b) ""Yes, it is""",Yes,Male,63,Yes
"(a) ""No, it's not""",,Yes,Male,37,Yes
"(a) ""No, it's not""",,Yes,Male,35,Yes
"(a) ""No, it's not""",,No,Male,21,Yes
"(a) ""No, it's not""",,Yes,Female,48,Yes
"(b) ""Yes, it is""",,Yes,Male,40,Yes
,"(a) ""No, it's not""",Yes,Female,65,Yes
,"(b) ""Yes, it is""",Yes,Male,35,Yes
"(a) ""No, it's not""",,Yes,Female,25,No
,"(b) ""Yes, it is""",Yes,Male,33,Yes
,"(a) ""No, it's not""",Yes,Female,36,Yes
"(b) ""Yes, it is""",,No,Female,23,Yes
,"(b) ""Yes, it is""",Yes,Female,39,Yes
,"(a) ""No, it's not""",Yes,Male,28,Yes
,"(b) ""Yes, it is""",Yes,Male,46,Yes
,"(b) ""Yes, it is""",Yes,Male,26,Yes
"(a) ""No, it's not""",,Yes,Male,36,Yes
"(a) ""No, it's not""",,Yes,Male,43,Yes
"(b) ""Yes, it is""",,Yes,Male,36,Yes
,"(b) ""Yes, it is""",No,Male,38,Yes
,"(a) ""No, it's not""",Yes,Male,28,Yes
"(a) ""No, it's not""",,Yes,Male,30,Yes
"(a) ""No, it's not""",,Yes,Female,23,Yes
,"(b) ""Yes, it is""",Yes,Female,27,Yes
,"(b) ""Yes, it is""",Yes,Male,35,Yes
,"(a) ""No, it's not""",Yes,Male,30,Yes
,"(b) ""Yes, it is""",Yes,Female,28,Yes
"(b) ""Yes, it is""",,Yes,Male,21,Yes
"(b) ""Yes, it is""",,Yes,Female,39,Yes
,"(b) ""Yes, it is""",Yes,Male,34,Yes
"(b) ""Yes, it is""",,Yes,Female,59,Yes
"(a) ""No, it's not""",,Yes,Female,24,Yes
"(b) ""Yes, it is""",,Yes,Female,45,Yes
,"(a) ""No, it's not""",Yes,Male,49,Yes
,"(a) ""No, it's not""",No,Female,60,Yes
"(b) ""Yes, it is""",,Yes,Male,33,Yes
,"(a) ""No, it's not""",Yes,Female,42,Yes
"(b) ""Yes, it is""",,Yes,Male,33,Yes
,"(a) ""No, it's not""",Yes,Male,35,
,"(a) ""No, it's not""",Yes,Female,28,Yes
,"(b) ""Yes, it is""",No,Male,45,Yes
"(b) ""Yes, it is""",,Yes,Female,32,Yes
"(a) ""No, it's not""",,Yes,Male,26,Yes
,"(b) ""Yes, it is""",Yes,Male,24,Yes
,"(b) ""Yes, it is""",Yes,Male,31,No
,"(b) ""Yes, it is""",Yes,Female,24,Yes
"(b) ""Yes, it is""",,No,Female,24,Yes
"(a) ""No, it's not""",,Yes,Female,41,Yes
,"(a) ""No, it's not""",Yes,Female,32,No
"(b) ""Yes, it is""",,Yes,Male,68,Yes
"(a) ""No, it's not""",,Yes,Female,29,Yes
,"(a) ""No, it's not""",Yes,Female,41,Yes
"(a) ""No, it's not""",,Yes,Female,42,No
"(b) ""Yes, it is""",,Yes,Female,59,Yes
"(a) ""No, it's not""",,Yes,Female,22,Yes
,"(b) ""Yes, it is""",Yes,Male,43,Yes
,"(a) ""No, it's not""",Yes,Male,34,Yes
"(a) ""No, it's not""",,Yes,Male,24,No
,"(b) ""Yes, it is""",Yes,Male,66,Yes
"(a) ""No, it's not""",,Yes,Male,52,Yes
"(a) ""No, it's not""",,Yes,Female,40,Yes
,"(b) ""Yes, it is""",Yes,Female,29,Yes
"(a) ""No, it's not""",,Yes,Male,61,Yes
,"(b) ""Yes, it is""",Yes,Male,21,Yes
"(a) ""No, it's not""",,Yes,Female,26,No
"(b) ""Yes, it is""",,Yes,Male,25,Yes
,"(b) ""Yes, it is""",Yes,Male,23,Yes
,"(a) ""No, it's not""",Yes,Male,31,Yes
"(a) ""No, it's not""",,Yes,Female,25,Yes
,"(a) ""No, it's not""",Yes,Male,31,Yes
,"(a) ""No, it's not""",Yes,Female,28,Yes
"(b) ""Yes, it is""",,Yes,Male,60,Yes
"(a) ""No, it's not""",,Yes,Female,43,Yes
"(a) ""No, it's not""",,Yes,Female,27,Yes
,"(a) ""No, it's not""",Yes,Male,25,Yes
,"(b) ""Yes, it is""",No,Female,42,Yes
"(a) ""No, it's not""",,Yes,Female,28,Yes
"(a) ""No, it's not""",,Yes,Female,37,Yes
,"(b) ""Yes, it is""",Yes,Male,40,Yes
,"(b) ""Yes, it is""",Yes,Male,48,No
"(a) ""No, it's not""",,Yes,Female,28,Yes
"(a) ""No, it's not""",,Yes,Male,34,Yes
"(b) ""Yes, it is""",,No,Male,21,Yes
,"(b) ""Yes, it is""",Yes,Female,41,Yes
,"(a) ""No, it's not""",Yes,Female,31,Yes
,"(b) ""Yes, it is""",Yes,Male,56,No
,"(b) ""Yes, it is""",Yes,Female,34,No
,"(a) ""No, it's not""",Yes,Female,27,Yes
"(a) ""No, it's not""",,Yes,Female,40,Yes
,"(b) ""Yes, it is""",Yes,Female,32,Yes
"(a) ""No, it's not""",,Yes,Female,34,Yes
"(a) ""No, it's not""",,No,Female,65,Yes
"(a) ""No, it's not""",,Yes,Male,29,Yes
,"(a) ""No, it's not""",Yes,Female,40,Yes
,"(b) ""Yes, it is""",Yes,Male,36,Yes
"(a) ""No, it's not""",,Yes,Male,33,No
"(a) ""No, it's not""",,Yes,Male,28,Yes
"(a) ""No, it's not""",,Yes,Male,28,Yes
,"(a) ""No, it's not""",Yes,Male,52,No
"(a) ""No, it's not""",,Yes,Male,38,Yes
,"(b) ""Yes, it is""",Yes,Female,23,Yes
,"(a) ""No, it's not""",Yes,Male,30,No
"(b) ""Yes, it is""",,Yes,Male,46,Yes
,"(a) ""No, it's not""",Yes,Female,28,Yes
,"(b) ""Yes, it is""",Yes,Male,26,Yes
"(b) ""Yes, it is""",,Yes,Male,29,Yes
,"(a) ""No, it's not""",Yes,Male,61,Yes
"(b) ""Yes, it is""",,Yes,Female,43,Yes
,"(b) ""Yes, it is""",No,Female,22,Yes
,"(b) ""Yes, it is""",Yes,Male,33,Yes
"(a) ""No, it's not""",,Yes,Female,66,Yes
,"(b) ""Yes, it is""",Yes,Male,31,Yes
"(a) ""No, it's not""",,Yes,Female,34,Yes
"(b) ""Yes, it is""",,Yes,Male,35,No
,"(a) ""No, it's not""",Yes,Male,67,No
,"(b) ""Yes, it is""",Yes,Female,46,Yes
,"(b) ""Yes, it is""",No,Male,32,Yes
,"(b) ""Yes, it is""",Yes,Female,28,Yes
